movie_row_index,probability,movie_title
6643,0.3433,Hot Fuzz (2007)
6769,0.34,3:10 to Yuma (2007)
8202,0.34,Paperman (2012)
6947,0.34,Taken (2008)
7373,0.3367,Black Dynamite (2009)
3645,0.3367,Hedwig and the Angry Inch (2000)
8606,0.3367,22 Jump Street (2014)
3733,0.3367,L.I.E. (2001)
6774,0.3367,4 Months, 3 Weeks and 2 Days (4 luni, 3 saptamâni si 2 zile) (2007)
7362,0.3367,Law Abiding Citizen (2009)
6251,0.3367,Angels in America (2003)
7650,0.3367,Jackass 3D (2010)
6257,0.3367,Brokeback Mountain (2005)
8045,0.3367,Black Mirror (2011)
5284,0.3367,Dark Days (2000)
3218,0.3367,Pollock (2000)
5815,0.3367,Times of Harvey Milk, The (1984)
8470,0.3367,Her (2013)
6618,0.3367,Seven Up! (1964)
1147,0.3367,Whole Wide World, The (1996)
2999,0.3367,Jesus' Son (1999)
5178,0.3367,28 Up (1985)
3029,0.3367,Pawnbroker, The (1964)
6237,0.3367,Green Street Hooligans (a.k.a. Hooligans) (2005)
6619,0.3367,7 Plus Seven (1970)
6601,0.3367,Letters from Iwo Jima (2006)
6793,0.3367,Darjeeling Limited, The (2007)
7965,0.3367,Albert Nobbs (2011)
7055,0.3367,Body of Lies (2008)
4529,0.3367,Europa Europa (Hitlerjunge Salomon) (1990)
6219,0.3367,Lord of War (2005)
4730,0.3367,American Splendor (2003)
7327,0.3367,Cloudy with a Chance of Meatballs (2009)
4536,0.3367,Salaam Bombay! (1988)
6224,0.3367,New Police Story (Xin jing cha gu shi) (2004)
7257,0.3367,Transformers: Revenge of the Fallen (2009)
3346,0.3367,End, The (1978)
8144,0.3367,Hunt, The (Jagten) (2012)
6236,0.3367,Corpse Bride (2005)
6550,0.3367,Deliver Us from Evil (2006)
6615,0.3367,49 Up (2005)
6693,0.3367,21 Up (1977)
7913,0.3367,Margaret (2011)
5933,0.3367,Hitler: The Rise of Evil (2003)
6698,0.3367,This Is England (2006)
5017,0.3367,Cooler, The (2003)
3047,0.3367,Breaker Morant (1980)
8520,0.3367,Cowboy Bebop (1998)
4585,0.3367,Spellbound (2002)
3824,0.3367,Little Women (1933)
6133,0.3367,Mysterious Skin (2004)
3857,0.3367,Not Another Teen Movie (2001)
7139,0.3367,Ponyo (Gake no ue no Ponyo) (2008)
4140,0.3367,Rabbit-Proof Fence (2002)
8158,0.3367,Seven Psychopaths (2012)
7183,0.3367,Dr. Horrible's Sing-Along Blog (2008)
7485,0.3367,She's Out of My League (2010)
3384,0.3367,Circle, The (Dayereh) (2000)
3782,0.3367,Bandits (2001)
3417,0.3367,Startup.com (2001)
5827,0.3367,Law of Desire (Ley del deseo, La) (1987)
5656,0.3367,Control Room (2004)
1398,0.3367,Love and Death on Long Island (1997)
5614,0.3367,Tarnation (2003)
2665,0.3367,Ghost Dog: The Way of the Samurai (1999)
7209,0.3367,Inglourious Basterds (2009)
6856,0.3367,There Will Be Blood (2007)
5848,0.3367,35 Up (1991)
6048,0.3333,Constantine (2005)
2345,0.3333,Handle with Care (a.k.a. Citizen's Band) (1977)
6096,0.3333,We're No Angels (1955)
6058,0.3333,Three Musketeers, The (1973)
6047,0.3333,Bride & Prejudice (2004)
6094,0.3333,Knockin' on Heaven's Door (1997)
6093,0.3333,Pom Poko (a.k.a. Raccoon War, The) (Heisei tanuki gassen pompoko) (1994)
6078,0.3333,Julia (1977)
2319,0.3333,Happy, Texas (1999)
6060,0.3333,Control (Kontroll) (2003)
6061,0.3333,5x2 (2004)
2320,0.3333,New Rose Hotel (1998)
6067,0.3333,Walk on Water (2004)
6068,0.3333,Hostage (2005)
6082,0.3333,Miss Congeniality 2: Armed and Fabulous (2005)
940,0.3333,Shooter, The (1997)
2323,0.3333,And the Ship Sails On (E la nave va) (1983)
6080,0.3333,Ice Princess (2005)
6071,0.3333,Agony and the Ecstasy, The (1965)
6072,0.3333,Once Upon a Forest (1993)
3818,0.3333,In the Bedroom (2001)
6008,0.3333,Testament (1983)
6046,0.3333,Inside Deep Throat (2005)
6043,0.3333,Steamboy (Suchîmubôi) (2004)
5967,0.3333,Yes Men, The (2003)
