movie_index,user_index,probability,movie_rate,factor,movie_title
275,451,0.4346,5.0,2.1729,Three Colors: Blue (Trois couleurs: Bleu) (1993)
885,451,0.4346,5.0,2.1729,Crying Game, The (1992)
3850,451,0.4346,5.0,2.1729,No Man's Land (2001)
1017,451,0.4346,5.0,2.1729,Deer Hunter, The (1978)
1013,451,0.4346,5.0,2.1729,Stand by Me (1986)
3367,451,0.4346,5.0,2.1729,Memento (2000)
6260,451,0.4346,5.0,2.1729,Good Night, and Good Luck. (2005)
2976,451,0.4346,5.0,2.1729,Coming Home (1978)
3856,451,0.4346,5.0,2.1729,Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)
3918,451,0.4346,5.0,2.1729,M*A*S*H (a.k.a. MASH) (1970)
4259,451,0.4346,5.0,2.1729,Bowling for Columbine (2002)
474,451,0.4346,5.0,2.1729,Searching for Bobby Fischer (1993)
1631,451,0.4346,5.0,2.1729,And the Band Played On (1993)
989,451,0.4346,5.0,2.1729,Sting, The (1973)
988,451,0.4346,5.0,2.1729,Boot, Das (Boat, The) (1981)
886,451,0.4346,5.0,2.1729,Glengarry Glen Ross (1992)
888,451,0.4346,5.0,2.1729,E.T. the Extra-Terrestrial (1982)
895,451,0.4346,5.0,2.1729,Microcosmos (Microcosmos: Le peuple de l'herbe) (1996)
977,451,0.4346,5.0,2.1729,Godfather: Part II, The (1974)
1690,451,0.4346,5.0,2.1729,Who's Afraid of Virginia Woolf? (1966)
2288,451,0.4346,5.0,2.1729,American Beauty (1999)
3818,451,0.4346,5.0,2.1729,In the Bedroom (2001)
963,451,0.4346,5.0,2.1729,To Kill a Mockingbird (1962)
626,451,0.4346,5.0,2.1729,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)
3199,451,0.4346,5.0,2.1729,Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)
3173,451,0.4346,5.0,2.1729,Billy Elliot (2000)
1301,451,0.4346,5.0,2.1729,Ice Storm, The (1997)
3198,451,0.4346,5.0,2.1729,Unbreakable (2000)
3193,451,0.4346,5.0,2.1729,One Day in September (1999)
535,451,0.4346,5.0,2.1729,Fargo (1996)
1374,451,0.4346,5.0,2.1729,Wag the Dog (1997)
525,451,0.4346,5.0,2.1729,Silence of the Lambs, The (1991)
13,451,0.4346,5.0,2.1729,Nixon (1995)
3113,451,0.4346,5.0,2.1729,Almost Famous (2000)
1288,451,0.4346,5.0,2.1729,L.A. Confidential (1997)
5366,451,0.4346,5.0,2.1729,Maltese Falcon, The (a.k.a. Dangerous Female) (1931)
34,451,0.4346,5.0,2.1729,Dead Man Walking (1995)
1209,451,0.4346,5.0,2.1729,Grosse Pointe Blank (1997)
2689,451,0.4346,5.0,2.1729,American Graffiti (1973)
