movie_row_index,probability,movie_title
729,0.3567,North by Northwest (1959)
423,0.35,In the Name of the Father (1993)
1023,0.3467,Arsenic and Old Lace (1944)
2982,0.3467,Conversation, The (1974)
3157,0.3433,Requiem for a Dream (2000)
3862,0.3433,Royal Tenenbaums, The (2001)
1507,0.3433,On the Waterfront (1954)
8536,0.3433,Interstellar (2014)
1030,0.3433,Cool Hand Luke (1967)
1036,0.3433,Fantasia (1940)
5941,0.3433,Old Boy (2003)
157,0.3433,Love & Human Remains (1993)
4767,0.3433,Lost in Translation (2003)
3199,0.3433,Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)
2987,0.34,Serpico (1973)
2543,0.34,Topsy-Turvy (1999)
2558,0.34,Titus (1999)
2658,0.34,Wonder Boys (2000)
2689,0.34,American Graffiti (1973)
1508,0.34,Marty (1955)
2665,0.34,Ghost Dog: The Way of the Samurai (1999)
2487,0.34,Grapes of Wrath, The (1940)
5173,0.34,Band of Brothers (2001)
1501,0.34,Best Years of Our Lives, The (1946)
2700,0.34,JFK (1991)
1104,0.34,Paradise Lost: The Child Murders at Robin Hood Hills (1996)
3644,0.34,Ghost World (2001)
2573,0.34,Five Easy Pieces (1970)
2415,0.34,Insider, The (1999)
1419,0.34,Lost in Space (1998)
6257,0.34,Brokeback Mountain (2005)
6980,0.34,WALL·E (2008)
1813,0.34,Edward Scissorhands (1990)
6769,0.34,3:10 to Yuma (2007)
832,0.34,Mary Poppins (1964)
8902,0.34,The Martian (2015)
3309,0.34,Hannibal (2001)
1146,0.34,Hamlet (1996)
2780,0.34,High Fidelity (2000)
2806,0.34,Return to Me (2000)
726,0.34,It Happened One Night (1934)
3028,0.34,Blow-Up (Blowup) (1966)
6741,0.34,Stardust (2007)
2169,0.34,Eyes Wide Shut (1999)
5983,0.34,Million Dollar Baby (2004)
973,0.34,Ran (1985)
6556,0.34,Prestige, The (2006)
2725,0.34,Thelma & Louise (1991)
7793,0.34,Louis C.K.: Shameless (2007)
7218,0.34,Star Trek (2009)
3218,0.34,Pollock (2000)
3222,0.34,Before Night Falls (2000)
6966,0.3367,Kung Fu Panda (2008)
3824,0.3367,Little Women (1933)
3074,0.3367,Steel Magnolias (1989)
5778,0.3367,Holy Mountain, The (Montaña sagrada, La) (1973)
8055,0.3367,Prometheus (2012)
1421,0.3367,Spanish Prisoner, The (1997)
2616,0.3367,Howards End (1992)
873,0.3367,Candidate, The (1972)
3336,0.3367,Lilies of the Field (1963)
8045,0.3367,Black Mirror (2011)
3821,0.3367,Breathless (À bout de souffle) (1960)
438,0.3367,Man Without a Face, The (1993)
1446,0.3367,Misérables, Les (1998)
872,0.3367,Victor/Victoria (1982)
461,0.3367,Remains of the Day, The (1993)
1331,0.3367,Witness (1985)
7243,0.3367,Antichrist (2009)
7503,0.3367,How to Train Your Dragon (2010)
1563,0.3367,Lethal Weapon 2 (1989)
7253,0.3367,Hurt Locker, The (2008)
6241,0.3367,Capote (2005)
8376,0.3367,Louis C.K.: Oh My God (2013)
4751,0.3367,Ikiru (1952)
4072,0.3367,Dogtown and Z-Boyz (2001)
6992,0.3367,Encounters at the End of the World (2008)
6990,0.3367,Wackness, The (2008)
3081,0.3367,Tao of Steve, The (2000)
2334,0.3367,Boys Don't Cry (1999)
1075,0.3367,April Fool's Day (1986)
2419,0.3367,They Shoot Horses, Don't They? (1969)
2774,0.3367,Place in the Sun, A (1951)
3560,0.3367,Land Before Time, The (1988)
3198,0.3367,Unbreakable (2000)
4730,0.3367,American Splendor (2003)
2416,0.3367,American Movie (1999)
6028,0.3367,White Sound, The (Das weiße Rauschen) (2001)
253,0.3367,Nobody's Fool (1994)
2561,0.3367,Snow Falling on Cedars (1999)
2447,0.3367,Dead Again (1991)
3325,0.3367,Avalon (1990)
8688,0.3367,What We Do in the Shadows (2014)
482,0.3367,Six Degrees of Separation (1993)
2302,0.3367,Pajama Game, The (1957)
636,0.3367,Heavy (1995)
2719,0.3367,Erin Brockovich (2000)
3361,0.3367,Longest Yard, The (1974)
950,0.3367,Paris Is Burning (1990)
1591,0.3367,Billy's Hollywood Screen Kiss (1997)
192,0.3367,Boys on the Side (1995)
3801,0.3367,Donnie Darko (2001)
189,0.3367,Before Sunrise (1995)
3032,0.3367,Duel in the Sun (1946)
1771,0.3367,Broadcast News (1987)
8801,0.3367,The Pacific (2010)
7566,0.3367,Enter the Void (2009)
195,0.3367,Circle of Friends (1995)
3029,0.3367,Pawnbroker, The (1964)
860,0.3367,Johns (1996)
3797,0.3367,Waking Life (2001)
5997,0.3367,Meet the Fockers (2004)
2546,0.3367,Carnal Knowledge (1971)
5993,0.3367,Phantom of the Opera, The (2004)
5991,0.3367,Life Aquatic with Steve Zissou, The (2004)
5987,0.3367,Hotel Rwanda (2004)
7998,0.3367,Louis C.K.: Live at the Beacon Theater (2011)
3339,0.3367,Elmer Gantry (1960)
3047,0.3367,Breaker Morant (1980)
1822,0.3367,Nashville (1975)
3340,0.3367,Alfie (1966)
7529,0.3367,Four Lions (2010)
7257,0.3367,Transformers: Revenge of the Fallen (2009)
3346,0.3367,End, The (1978)
6304,0.3367,Match Point (2005)
1092,0.3367,Nosferatu (Nosferatu, eine Symphonie des Grauens) (1922)
213,0.3367,Fluke (1995)
3049,0.3367,Interiors (1978)
5078,0.3367,The Butterfly Effect (2004)
1582,0.3367,Dangerous Liaisons (1988)
5339,0.3367,Gladiator (1992)
3045,0.3367,What About Bob? (1991)
2478,0.3367,All About My Mother (Todo sobre mi madre) (1999)
8764,0.3367,Kingsman: The Secret Service (2015)
5029,0.3367,Fog of War: Eleven Lessons from the Life of Robert S. McNamara, The (2003)
6325,0.3367,Richard Pryor: Live in Concert (1979)
2441,0.3367,Face in the Crowd, A (1957)
3039,0.3367,Anatomy of a Murder (1959)
3646,0.3367,Planet of the Apes (2001)
3035,0.3367,Five Senses, The (1999)
197,0.3367,Don Juan DeMarco (1995)
1588,0.3367,Disturbing Behavior (1998)
2355,0.3367,Sullivan's Travels (1941)
603,0.3367,Dead Man (1995)
7485,0.3367,She's Out of My League (2010)
4906,0.3367,WarGames (1983)
4903,0.3367,Funny Games (1997)
7139,0.3367,Ponyo (Gake no ue no Ponyo) (2008)
1500,0.3367,Lost Weekend, The (1945)
6122,0.3367,Hitchhiker's Guide to the Galaxy, The (2005)
1397,0.3367,U.S. Marshals (1998)
4113,0.3367,Thirteen Conversations About One Thing (a.k.a. 13 Conversations) (2001)
2452,0.3367,Anywhere But Here (1999)
1504,0.3367,All the King's Men (1949)
8510,0.3367,Generation Kill (2008)
5923,0.3367,Brown Bunny, The (2003)
7120,0.3367,Wrestler, The (2008)
8520,0.3367,Cowboy Bebop (1998)
8410,0.3367,Rush (2013)
7114,0.3367,Frost/Nixon (2008)
7113,0.3367,Gran Torino (2008)
1028,0.3367,Akira (1988)
7110,0.3367,Che: Part Two (2008)
7109,0.3367,Che: Part One (2008)
7414,0.3367,Sherlock Holmes (2009)
2690,0.3367,Asphalt Jungle, The (1950)
3140,0.3367,Bank Dick, The (1940)
8534,0.3367,Grand Budapest Hotel, The (2014)
392,0.3367,Endless Summer 2, The (1994)
487,0.3367,So I Married an Axe Murderer (1993)
2735,0.3367,Creature Comforts (1989)
1418,0.3367,Big One, The (1997)
8450,0.3367,Book Thief, The (2013)
7364,0.3367,Mary and Max (2009)
1495,0.3367,Life of Emile Zola, The (1937)
8463,0.3367,Wolf of Wall Street, The (2013)
528,0.3367,Pinocchio (1940)
3160,0.3367,Contender, The (2000)
1496,0.3367,You Can't Take It with You (1938)
7362,0.3367,Law Abiding Citizen (2009)
373,0.3367,Blown Away (1994)
372,0.3367,Blink (1994)
1868,0.3367,Central Station (Central do Brasil) (1998)
369,0.3367,Beverly Hillbillies, The (1993)
8202,0.3367,Paperman (2012)
1011,0.3367,Better Off Dead... (1985)
5890,0.3367,Neon Genesis Evangelion: The End of Evangelion (Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni) (1997)
1401,0.3367,Everest (1998)
8485,0.3367,Am Ende eiens viel zu kurzen Tages (Death of a superhero) (2011)
2740,0.3367,Double Indemnity (1944)
5933,0.3367,Hitler: The Rise of Evil (2003)
1855,0.3367,Runaway Train (1985)
5109,0.3367,Good bye, Lenin! (2003)
7101,0.3367,Hunger (2008)
4799,0.3367,Triplets of Belleville, The (Les triplettes de Belleville) (2003)
7459,0.3367,Shutter Island (2010)
2570,0.3367,Papillon (1973)
7032,0.3367,Burn After Reading (2008)
2465,0.3367,Verdict, The (1982)
1438,0.3367,Character (Karakter) (1997)
3110,0.3367,Nurse Betty (2000)
4786,0.3367,Underworld (2003)
7027,0.3367,Waltz with Bashir (Vals im Bashir) (2008)
4988,0.3367,Passage to India, A (1984)
2764,0.3367,Modern Times (1936)
6218,0.3367,Proof (2005)
6224,0.3367,New Police Story (Xin jing cha gu shi) (2004)
7016,0.3367,Absolute Giganten (1999)
288,0.3367,Swimming with Sharks (1995)
3187,0.3367,You Can Count on Me (2000)
2726,0.3367,...And Justice for All (1979)
4996,0.3367,Nausicaä of the Valley of the Wind (Kaze no tani no Naushika) (1984)
3097,0.3367,Cat Ballou (1965)
3095,0.3367,Shane (1953)
3092,0.3367,Naked Gun: From the Files of Police Squad!, The (1988)
6203,0.3367,Grizzly Man (2005)
1365,0.3367,Kundun (1997)
1369,0.3367,My Life in Pink (Ma vie en rose) (1997)
7426,0.3367,Book of Eli, The (2010)
8405,0.3367,Gravity (2013)
2685,0.3367,Breaking Away (1979)
2684,0.3367,Defending Your Life (1991)
2683,0.3367,East-West (Est-ouest) (1999)
7213,0.3367,Moon (2009)
7424,0.3367,Hachiko: A Dog's Story (a.k.a. Hachi: A Dog's Tale) (2009)
2426,0.3367,Falling Down (1993)
6192,0.3367,Serenity (2005)
3886,0.3367,Gosford Park (2001)
2679,0.3367,Raisin in the Sun, A (1961)
2572,0.3367,Last Detail, The (1973)
1528,0.3367,Metropolitan (1990)
1529,0.3367,Labyrinth (1986)
578,0.3367,Some Folks Call It a Sling Blade (1993)
4821,0.3367,Monty Python's The Meaning of Life (1983)
7055,0.3367,Body of Lies (2008)
3229,0.3367,State and Main (2000)
2318,0.3367,Three Kings (1999)
7183,0.3367,Dr. Horrible's Sing-Along Blog (2008)
769,0.3367,East of Eden (1955)
7642,0.3367,Inside Job (2010)
2270,0.3367,Bedrooms & Hallways (1998)
1137,0.3367,Marvin's Room (1996)
6444,0.3367,Pirates of the Caribbean: Dead Man's Chest (2006)
771,0.3367,His Girl Friday (1940)
7901,0.3367,The Artist (2011)
2645,0.3367,Pitch Black (2000)
721,0.3367,American in Paris, An (1951)
1631,0.3367,And the Band Played On (1993)
722,0.3367,Funny Face (1957)
6669,0.3367,Grindhouse (2007)
7890,0.3367,Avengers, The (2012)
7653,0.3367,Red (2010)
7887,0.3367,Contagion (2011)
4499,0.3367,Man Who Fell to Earth, The (1976)
4392,0.3367,About Schmidt (2002)
3458,0.3367,Lara Croft: Tomb Raider (2001)
2636,0.3367,Beach, The (2000)
7791,0.3367,Louis C.K.: Hilarious (2010)
2385,0.3367,Crimes and Misdemeanors (1989)
2989,0.3367,Lonely Are the Brave (1962)
1685,0.3367,Ever After: A Cinderella Story (1998)
2988,0.3367,Ace in the Hole (Big Carnival, The) (1951)
3782,0.3367,Bandits (2001)
1656,0.3367,Sleeping Beauty (1959)
7789,0.3367,Melancholia (2011)
2492,0.3367,River Runs Through It, A (1992)
7792,0.3367,Louis C.K.: Chewed Up (2008)
3441,0.3367,Evolution (2001)
2980,0.3367,One False Move (1992)
4036,0.3367,Piano Teacher, The (La pianiste) (2001)
7919,0.3367,Shame (2011)
3460,0.3367,Fast and the Furious, The (2001)
2143,0.3367,Buena Vista Social Club (1999)
6432,0.3367,Da Vinci Code, The (2006)
2378,0.3367,Straight Story, The (1999)
766,0.3367,To Be or Not to Be (1942)
5480,0.3367,Fahrenheit 9/11 (2004)
736,0.3367,Sabrina (1954)
3414,0.3367,Knight's Tale, A (2001)
2392,0.3367,Brother, Can You Spare a Dime? (1975)
755,0.3367,Band Wagon, The (1953)
66,0.3367,Fair Game (1995)
3420,0.3367,Moulin Rouge (2001)
855,0.3367,Jude (1996)
739,0.3367,Meet Me in St. Louis (1944)
2375,0.3367,Story of Us, The (1999)
1147,0.3367,Whole Wide World, The (1996)
750,0.3367,Notorious (1946)
3417,0.3367,Startup.com (2001)
5613,0.3367,Friday Night Lights (2004)
2178,0.3367,Trick (1999)
2189,0.3367,Jules and Jim (Jules et Jim) (1961)
2504,0.3367,'night Mother (1986)
757,0.3367,Love in the Afternoon (1957)
4475,0.3367,Richard Pryor Live on the Sunset Strip (1982)
1171,0.3367,Kolya (Kolja) (1996)
89,0.3367,Hate (Haine, La) (1995)
6535,0.3367,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (2006)
53,0.3367,Home for the Holidays (1995)
6676,0.3367,Disturbia (2007)
6532,0.3367,Apocalypto (2006)
2813,0.3367,Mystery Train (1989)
7660,0.3367,Megamind (2010)
55,0.3367,Confessional, The (Confessionnal, Le) (1995)
731,0.3367,Some Like It Hot (1959)
4419,0.3367,Hours, The (2002)
2164,0.3367,American Pie (1999)
732,0.3367,Charade (1963)
6733,0.3367,Transformers (2007)
1706,0.3367,House (1986)
4391,0.3367,Star Trek: Nemesis (2002)
2940,0.3367,Flatliners (1990)
1750,0.3367,Shadow of a Doubt (1943)
4566,0.3367,Mighty Wind, A (2003)
1198,0.3367,Daytrippers, The (1996)
2232,0.3367,Monty Python's And Now for Something Completely Different (1971)
4008,0.3367,And Your Mother Too (Y tu mamá también) (2001)
1213,0.3367,Hollow Reed (1996)
7590,0.3367,Mr. Nobody (2009)
2876,0.3367,Gypsy (1962)
4323,0.3367,Far from Heaven (2002)
3010,0.3367,F/X (1986)
2999,0.3367,Jesus' Son (1999)
156,0.3367,Lord of Illusions (1995)
2872,0.3367,Hamlet (2000)
7762,0.3367,Elite Squad: The Enemy Within (Tropa de Elite 2 - O Inimigo Agora É Outro) (2010)
1619,0.3367,Negotiator, The (1998)
3469,0.3367,Lumumba (2000)
4350,0.3367,They All Laughed (1981)
150,0.3367,Jeffrey (1995)
2489,0.3367,Shop Around the Corner, The (1940)
2994,0.3367,Battleship Potemkin (1925)
6401,0.3367,Lucky Number Slevin (2006)
138,0.3367,Clockers (1995)
790,0.3367,Meet John Doe (1941)
678,0.3367,Foxfire (1996)
1645,0.3333,101 Dalmatians (One Hundred and One Dalmatians) (1961)
1498,0.3333,Mrs. Miniver (1942)
1643,0.3333,Muppet Christmas Carol, The (1992)
1644,0.3333,Newsies (1992)
1467,0.3333,Children of Heaven, The (Bacheha-Ye Aseman) (1997)
1511,0.3333,Man for All Seasons, A (1966)
5966,0.3333,Corporation, The (2003)
2439,0.3333,Quest for Fire (Guerre du feu, La) (1981)
5600,0.3333,Shall We Dance? (2004)
5617,0.3333,Grudge, The (2004)
5967,0.3333,Yes Men, The (2003)
5888,0.3333,Addams Family Reunion (1998)
5614,0.3333,Tarnation (2003)
5602,0.3333,Eulogy (2004)
5980,0.3333,Scanner Darkly, A (2006)
1666,0.3333,Swing Kids (1993)
5887,0.3333,Who Am I? (Wo shi shei) (1998)
5599,0.3333,Stage Beauty (2004)
5559,0.3333,Anacondas: The Hunt for the Blood Orchid (2004)
1650,0.3333,Rescuers, The (1977)
1497,0.3333,How Green Was My Valley (1941)
5894,0.3333,10th Kingdom, The (2000)
5595,0.3333,Ladder 49 (2004)
5619,0.3333,Sideways (2004)
5560,0.3333,Suspect Zero (2004)
1469,0.3333,Dream for an Insomniac (1996)
1512,0.3333,In the Heat of the Night (1967)
5596,0.3333,I Heart Huckabees (2004)
5892,0.3333,Kirikou and the Sorceress (Kirikou et la sorcière) (1998)
5982,0.3333,Jerry Seinfeld: 'I'm Telling You for the Last Time' (1998)
5891,0.3333,In July (Im Juli) (2000)
2433,0.3333,Yojimbo (1961)
5597,0.3333,Raise Your Voice (2004)
5618,0.3333,Alfie (2004)
5964,0.3333,Mean Creek (2004)
4007,0.3333,Promises (2001)
1499,0.3333,Going My Way (1944)
5557,0.3333,Bill Cosby, Himself (1983)
1649,0.3333,Rescuers Down Under, The (1990)
5871,0.3333,Tai Chi Master (Twin Warriors) (Tai ji: Zhang San Feng) (1993)
5556,0.3333,Sting II, The (1983)
1502,0.3333,Gentleman's Agreement (1947)
5977,0.3333,DiG! (2004)
5972,0.3333,Something the Lord Made (2004)
1503,0.3333,Hamlet (1948)
5611,0.3333,Decline of the American Empire, The (Déclin de l'empire américain, Le) (1986)
5973,0.3333,Metallica: Some Kind of Monster (2004)
5974,0.3333,Redemption: The Stan Tookie Williams Story (2004)
1667,0.3333,Halloween H20: 20 Years Later (Halloween 7: The Revenge of Laurie Strode) (1998)
5874,0.3333,Darkman II: Return of Durant, The (1995)
5873,0.3333,71 Fragments of a Chronology of Chance (71 Fragmente einer Chronologie des Zufalls) (1994)
5872,0.3333,Three of Hearts (1993)
5976,0.3333,Born into Brothels (2004)
3922,0.3333,The Count of Monte Cristo (2002)
5609,0.3333,Five Obstructions, The (Fem benspænd, De) (2003)
1505,0.3333,Greatest Show on Earth, The (1952)
5878,0.3333,Whisper of the Heart (Mimi wo sumaseba) (1995)
5607,0.3333,Fearless Vampire Killers, The (1967)
1463,0.3333,Six Days Seven Nights (1998)
1668,0.3333,L.A. Story (1991)
5885,0.3333,Gia (1998)
1466,0.3333,High Art (1998)
5884,0.3333,Interview, The (1998)
5883,0.3333,From the Earth to the Moon (1998)
5979,0.3333,What the #$*! Do We Know!? (a.k.a. What the Bleep Do We Know!?) (2004)
3997,0.3333,The Monster Club (1981)
3996,0.3333,Mon oncle d'Amérique (1980)
2435,0.3333,Omega Man, The (1971)
5880,0.3333,Pusher (1996)
1510,0.3333,Tom Jones (1963)
5612,0.3333,All I Want for Christmas (1991)
1464,0.3333,Can't Hardly Wait (1998)
5960,0.3333,Touch of Pink (2004)
5978,0.3333,Riding Giants (2004)
5881,0.3333,Gummo (1997)
3923,0.3333,Mothman Prophecies, The (2002)
5961,0.3333,Layer Cake (2004)
5946,0.3333,Millions (2004)
5959,0.3333,Open Water (2003)
3907,0.3333,Impostor (2002)
